"","user_id","signup_date","platform","acquisition_channel","play_score","retention_score","spend_score","level","play_time_min","login_prob","purcahse_prob","login_flag","n_sessions","session_id","session_nm","day_since_signup","session_hour","session_minute","session_start","session_date","session_play_time","total_play_time","session_day_offset","session_num"
"1","U00001",2026-04-05,"android","organic",-1.21992067956312,-0.142668157481679,0.528561218332014,7,11,0.997482491474973,0.999681471687687,1,1,"S000001",1,-18554,22,58,2026-04-05 22:58:00,2026-04-05,11,11,0,1
"2","U00002",2026-03-29,"ios","organic",-0.860654587450791,-1.43132948044664,-0.0402442176955591,25,36,0.999878046419005,0.977750191085217,1,1,"S000002",1,-18547,16,15,2026-03-29 16:15:00,2026-03-29,36,36,0,1
"3","U00003",2026-04-22,"android","organic",-0.517577033589278,-0.870219081942175,-0.44043679306155,3,57,0.999840336285071,0.821617242061117,1,3,"S000003",1,-18571,8,3,2026-04-22 08:03:00,2026-04-22,3,57,0,1
"4","U00003",2026-04-22,"android","organic",-0.517577033589278,-0.870219081942175,-0.44043679306155,3,57,0.999840336285071,0.821617242061117,1,3,"S000004",2,-18571,9,28,2026-04-22 09:28:00,2026-04-22,15,57,0,2
"5","U00003",2026-04-22,"android","organic",-0.517577033589278,-0.870219081942175,-0.44043679306155,3,57,0.999840336285071,0.821617242061117,1,3,"S000005",3,-18571,18,2,2026-04-22 18:02:00,2026-04-22,40,57,0,3
"6","U00004",2026-04-03,"android","organic",-0.766491949067535,-0.435586018960884,-0.149742861793311,10,20,0.987004146876645,0.918889943822259,1,2,"S000007",2,-18552,10,46,2026-04-03 10:46:00,2026-04-03,3,20,0,1
"7","U00004",2026-04-03,"android","organic",-0.766491949067535,-0.435586018960884,-0.149742861793311,10,20,0.987004146876645,0.918889943822259,1,2,"S000006",1,-18552,23,29,2026-04-03 23:29:00,2026-04-03,17,20,0,2
"8","U00005",2026-04-22,"android","organic",-1.34076588304961,-1.14035993787973,-0.121627813853246,0,5,0.999944662514934,0.995961886084729,1,2,"S000008",1,-18571,11,30,2026-04-22 11:30:00,2026-04-22,3,6,0,1
"9","U00005",2026-04-22,"android","organic",-1.34076588304961,-1.14035993787973,-0.121627813853246,0,5,0.999944662514934,0.995961886084729,1,2,"S000009",2,-18571,22,55,2026-04-22 22:55:00,2026-04-22,6,6,0,2
"10","U00006",2026-04-24,"ios","ad",-0.474810971173997,-0.0657306715885767,0.537429096609947,1,24,0.998178519045932,0.562604727323166,1,2,"S000010",1,-18573,15,10,2026-04-24 15:10:00,2026-04-24,12,24,0,1
"11","U00006",2026-04-24,"ios","ad",-0.474810971173997,-0.0657306715885767,0.537429096609947,1,24,0.998178519045932,0.562604727323166,1,2,"S000011",2,-18573,16,39,2026-04-24 16:39:00,2026-04-24,12,24,0,2
"12","U00008",2026-04-16,"ios","organic",-0.368332738368037,1.02770658126581,-0.151011954112325,5,23,0.999890448293461,0.32874863583617,1,3,"S000012",1,-18565,8,25,2026-04-16 08:25:00,2026-04-16,6,23,0,1
"13","U00008",2026-04-16,"ios","organic",-0.368332738368037,1.02770658126581,-0.151011954112325,5,23,0.999890448293461,0.32874863583617,1,3,"S000013",2,-18565,18,17,2026-04-16 18:17:00,2026-04-16,3,23,0,2
"14","U00008",2026-04-16,"ios","organic",-0.368332738368037,1.02770658126581,-0.151011954112325,5,23,0.999890448293461,0.32874863583617,1,3,"S000014",3,-18565,22,30,2026-04-16 22:30:00,2026-04-16,13,23,0,3
"15","U00009",2026-04-20,"android","event",-0.0936512400975586,0.126128119416551,0.0810276497243823,4,31,0.999917011498984,0.969863209367571,1,3,"S000017",3,-18569,8,40,2026-04-20 08:40:00,2026-04-20,6,31,0,1
"16","U00009",2026-04-20,"android","event",-0.0936512400975586,0.126128119416551,0.0810276497243823,4,31,0.999917011498984,0.969863209367571,1,3,"S000016",2,-18569,15,23,2026-04-20 15:23:00,2026-04-20,9,31,0,2
"17","U00009",2026-04-20,"android","event",-0.0936512400975586,0.126128119416551,0.0810276497243823,4,31,0.999917011498984,0.969863209367571,1,3,"S000015",1,-18569,20,28,2026-04-20 20:28:00,2026-04-20,16,31,0,3
"18","U00010",2026-04-17,"ios","organic",0.985343333655991,0.0969109497054676,-0.00719324448623147,8,46,0.834629465012292,0.684821665100909,1,1,"S000018",1,-18566,20,32,2026-04-17 20:32:00,2026-04-17,46,46,0,1
"19","U00011",2026-04-24,"android","ad",-1.61335621059215,-1.2653228205041,1.59650966672349,0,16,0.98792536440246,0.958233434497626,1,1,"S000019",1,-18573,9,49,2026-04-24 09:49:00,2026-04-24,16,16,0,1
"20","U00012",2026-04-15,"android","ad",0.886473799807006,-0.204639239737541,0.743098375539096,16,51,0.938862168696668,0.99651873848503,1,1,"S000020",1,-18564,10,51,2026-04-15 10:51:00,2026-04-15,51,51,0,1
"21","U00013",2026-04-23,"android","ad",0.221719997232507,0.427442456518889,-0.0341768937400845,5,19,0.999980545630887,0.996531046409939,1,2,"S000022",2,-18572,14,9,2026-04-23 14:09:00,2026-04-23,14,19,0,1
"22","U00013",2026-04-23,"android","ad",0.221719997232507,0.427442456518889,-0.0341768937400845,5,19,0.999980545630887,0.996531046409939,1,2,"S000021",1,-18572,23,14,2026-04-23 23:14:00,2026-04-23,5,19,0,2
"23","U00014",2026-04-04,"ios","ad",-0.890450553798848,0.158450623855967,1.43420823972618,16,19,0.999505016899059,0.940566832303459,1,1,"S000023",1,-18553,10,19,2026-04-04 10:19:00,2026-04-04,19,19,0,1
"24","U00015",2026-04-08,"android","organic",0.109275902187039,0.930549203146613,-0.685490322151375,21,16,0.999988929063257,0.755034973167982,1,2,"S000024",1,-18557,23,43,2026-04-08 23:43:00,2026-04-08,8,16,0,1
"25","U00015",2026-04-08,"android","organic",0.109275902187039,0.930549203146613,-0.685490322151375,21,16,0.999988929063257,0.755034973167982,1,2,"S000025",2,-18557,23,50,2026-04-08 23:50:00,2026-04-08,8,16,0,2
"26","U00016",2026-03-31,"android","organic",0.998081693989327,-0.191505285628651,-1.45422749702588,16,82,0.999503606219546,0.69591720113524,1,1,"S000026",1,-18549,23,0,2026-03-31 23:00:00,2026-03-31,82,82,0,1
"27","U00017",2026-04-11,"android","organic",-1.43083160223262,-0.564730791332539,-0.24600243952572,2,14,0.994339663483748,0.997035033644459,1,2,"S000027",1,-18560,19,50,2026-04-11 19:50:00,2026-04-11,7,14,0,1
"28","U00017",2026-04-11,"android","organic",-1.43083160223262,-0.564730791332539,-0.24600243952572,2,14,0.994339663483748,0.997035033644459,1,2,"S000028",2,-18560,23,6,2026-04-11 23:06:00,2026-04-11,7,14,0,2
"29","U00018",2026-04-20,"android","ad",0.0832636813894526,0.708702096036751,-0.261291364283892,6,32,0.999677374954139,0.995608427062636,1,1,"S000029",1,-18569,12,0,2026-04-20 12:00:00,2026-04-20,32,32,0,1
"30","U00019",2026-03-29,"ios","organic",1.05628786840142,-0.0919093803754963,-0.235281533137142,25,36,0.999674319754749,0.763749753521962,1,1,"S000030",1,-18547,10,22,2026-03-29 10:22:00,2026-03-29,36,36,0,1
"31","U00020",2026-04-18,"android","event",-1.03826748578903,0.671061501845867,-1.3515116020698,7,6,0.999969869454795,0.994153005269506,1,1,"S000031",1,-18567,14,56,2026-04-18 14:56:00,2026-04-18,6,6,0,1
"32","U00021",2026-04-11,"android","organic",0.920962906816151,0.789053886803517,-1.68950711815124,18,38,0.999520748507992,0.407861364047639,1,1,"S000032",1,-18560,13,2,2026-04-11 13:02:00,2026-04-11,38,38,0,1
"33","U00022",2026-04-02,"android","organic",1.14129752873869,1.69343286067192,0.08021626784941,16,37,0.999503108029196,0.767199097054495,1,3,"S000035",3,-18551,14,8,2026-04-02 14:08:00,2026-04-02,21,37,0,1
"34","U00022",2026-04-02,"android","organic",1.14129752873869,1.69343286067192,0.08021626784941,16,37,0.999503108029196,0.767199097054495,1,3,"S000034",2,-18551,20,52,2026-04-02 20:52:00,2026-04-02,8,37,0,2
"35","U00022",2026-04-02,"android","organic",1.14129752873869,1.69343286067192,0.08021626784941,16,37,0.999503108029196,0.767199097054495,1,3,"S000033",1,-18551,23,55,2026-04-02 23:55:00,2026-04-02,8,37,0,3
"36","U00023",2026-04-19,"android","event",-0.313511674830915,-0.619398804423064,-0.492843452175365,7,21,0.911182555918381,0.0831143378069892,1,1,"S000036",1,-18568,16,14,2026-04-19 16:14:00,2026-04-19,21,21,0,1
"37","U00024",2026-04-11,"android","ad",-0.763188983595471,2.20295185504546,1.02005207811447,14,16,0.999988136236647,0.707087738504685,1,1,"S000037",1,-18560,23,10,2026-04-11 23:10:00,2026-04-11,16,16,0,1
"38","U00025",2026-04-09,"ios","ad",-0.341205548518864,-0.035958663386835,0.818068032208798,14,21,0.999202675468326,0.745123893460384,1,2,"S000039",2,-18558,17,20,2026-04-09 17:20:00,2026-04-09,15,21,0,1
"39","U00025",2026-04-09,"ios","ad",-0.341205548518864,-0.035958663386835,0.818068032208798,14,21,0.999202675468326,0.745123893460384,1,2,"S000038",1,-18558,20,39,2026-04-09 20:39:00,2026-04-09,6,21,0,2
"40","U00026",2026-03-31,"ios","event",-0.672377653498829,-0.763954472782447,1.77511697682429,11,29,0.999969381612535,0.848344856121489,1,2,"S000041",2,-18549,10,48,2026-03-31 10:48:00,2026-03-31,17,29,0,1
"41","U00026",2026-03-31,"ios","event",-0.672377653498829,-0.763954472782447,1.77511697682429,11,29,0.999969381612535,0.848344856121489,1,2,"S000040",1,-18549,11,43,2026-03-31 11:43:00,2026-03-31,12,29,0,2
"42","U00027",2026-04-20,"android","event",-0.22278335587168,-0.359426766364229,0.615229456991462,5,39,0.909734106302115,0.89984087146382,1,2,"S000043",2,-18569,12,15,2026-04-20 12:15:00,2026-04-20,8,39,0,1
"43","U00027",2026-04-20,"android","event",-0.22278335587168,-0.359426766364229,0.615229456991462,5,39,0.909734106302115,0.89984087146382,1,2,"S000042",1,-18569,15,19,2026-04-20 15:19:00,2026-04-20,31,39,0,2
"44","U00028",2026-04-26,"ios","organic",-0.183981572271294,0.0876981366316758,0.0575827991497729,0,18,0.981282110928158,0.991516622991808,1,1,"S000044",1,-18575,20,53,2026-04-26 20:53:00,2026-04-26,18,18,0,1
"45","U00029",2026-04-21,"ios","ad",0.131072653378846,0.947470294425473,-0.467256127692508,3,26,0.99999483702718,0.972631016793317,1,3,"S000047",3,-18570,12,52,2026-04-21 12:52:00,2026-04-21,12,26,0,1
"46","U00029",2026-04-21,"ios","ad",0.131072653378846,0.947470294425473,-0.467256127692508,3,26,0.99999483702718,0.972631016793317,1,3,"S000045",1,-18570,17,34,2026-04-21 17:34:00,2026-04-21,3,26,0,2
"47","U00029",2026-04-21,"ios","ad",0.131072653378846,0.947470294425473,-0.467256127692508,3,26,0.99999483702718,0.972631016793317,1,3,"S000046",2,-18570,20,6,2026-04-21 20:06:00,2026-04-21,11,26,0,3
"48","U00030",2026-04-07,"android","organic",-0.506057565806708,-1.33093475450495,0.138980188600496,13,20,0.999985678818008,0.513981294764328,1,2,"S000049",2,-18556,11,54,2026-04-07 11:54:00,2026-04-07,17,20,0,1
"49","U00030",2026-04-07,"android","organic",-0.506057565806708,-1.33093475450495,0.138980188600496,13,20,0.999985678818008,0.513981294764328,1,2,"S000048",1,-18556,18,36,2026-04-07 18:36:00,2026-04-07,3,20,0,2
